year,month,route,temp_c,precip_mm
2004,1,camino_frances,8.01,104.29
2004,2,camino_frances,6.7,56.97
2004,3,camino_frances,7.8,82.3
2004,4,camino_frances,9.69,83.92
2004,5,camino_frances,12.79,80.25
2004,6,camino_frances,18.4,25.48
2004,7,camino_frances,18.71,43.91
2004,8,camino_frances,19.19,78.27
2004,9,camino_frances,17.67,56.46
2004,10,camino_frances,14.06,136.65
2004,11,camino_frances,8.58,56.76
2004,12,camino_frances,7.04,90.7
2004,1,camino_portugues,9.3,99.62
2004,2,camino_portugues,9.01,34.23
2004,3,camino_portugues,9.86,61.78
2004,4,camino_portugues,12.24,55.55
2004,5,camino_portugues,15.22,61.77
2004,6,camino_portugues,21.38,13.46
2004,7,camino_portugues,21.11,11.7
2004,8,camino_portugues,20.02,79.47
2004,9,camino_portugues,19.43,21.67
2004,10,camino_portugues,14.57,223.54
2004,11,camino_portugues,9.97,27.77
2004,12,camino_portugues,7.68,38.45
2004,1,camino_portugues_costa,9.86,133.17
2004,2,camino_portugues_costa,9.32,25.62
2004,3,camino_portugues_costa,9.95,81.28
2004,4,camino_portugues_costa,11.83,79.65
2004,5,camino_portugues_costa,14.72,61.77
2004,6,camino_portugues_costa,19.63,22.02
2004,7,camino_portugues_costa,19.32,19.22
2004,8,camino_portugues_costa,18.76,119.68
2004,9,camino_portugues_costa,18.4,23.35
2004,10,camino_portugues_costa,14.22,296.23
2004,11,camino_portugues_costa,10.33,38.03
2004,12,camino_portugues_costa,8.41,46.35
2004,1,camino_norte,9.68,130.68
2004,2,camino_norte,8.17,76.06
2004,3,camino_norte,8.98,90.85
2004,4,camino_norte,10.52,96.47
2004,5,camino_norte,13.0,87.13
2004,6,camino_norte,17.64,31.01
2004,7,camino_norte,18.11,52.7
2004,8,camino_norte,19.17,92.44
2004,9,camino_norte,18.03,57.16
2004,10,camino_norte,15.16,154.59
2004,11,camino_norte,10.58,78.03
2004,12,camino_norte,9.04,122.94
2004,1,via_podiensis_fr,8.42,140.88
2004,2,via_podiensis_fr,7.24,51.68
2004,3,via_podiensis_fr,8.52,66.52
2004,4,via_podiensis_fr,11.09,93.85
2004,5,via_podiensis_fr,14.37,69.37
2004,6,via_podiensis_fr,19.19,20.46
2004,7,via_podiensis_fr,19.57,50.58
2004,8,via_podiensis_fr,20.51,86.15
2004,9,via_podiensis_fr,18.82,32.73
2004,10,via_podiensis_fr,15.93,102.99
2004,11,via_podiensis_fr,9.6,47.39
2004,12,via_podiensis_fr,7.91,76.19
