year,share_Camino_Portugues_Costa,share_Camino_Frances,total_pilgrims,pct_women,diversity_core,share_Via_de_la_Plata,share_challenge,via_podiensis_fr_summer_temp_lag1,temp_anomaly_camino_frances,temp_anomaly_camino_norte,temp_anomaly_camino_portugues,temp_anomaly_camino_portugues_costa,temp_anomaly_via_podiensis_fr,ratio_sequential,sanitary_regime,trends_PT_lag2,trends_KR_lag0,trends_KR_lag1,trends_FR_lag0,trends_DE_lag1,trail_countries_lag1,trail_finishers_lag0,challenge_routes_share,accessibility_routes_share,phase_regime,growth_momentum_avg,frances_saturation,holy_year,holy_year_compound,post_covid_regime,deferred_demand,yoy_growth_lag1,via_podiensis_fr_summer_temp_lag1_dt,ratio_sequential_dt,trends_PT_lag2_dt,trends_KR_lag0_dt,trends_KR_lag1_dt,trends_FR_lag0_dt,trends_DE_lag1_dt,trail_finishers_lag0_dt,trail_countries_lag1_dt,diversity_core_dt
2004,0.0,0.7704952651936158,179944,44.19,0.3860735518746993,0.05173276130351665,0.11838127417418752,,0.00841269841269939,0.07174603174603315,0.38190476190476375,0.3966666666666671,-0.18126984126983814,0.8722,0,,0.0,,27.58,,,,0.11838127417418752,0.0171831236384653,1,,1,1,0,0,0.0,,,0.05383116883117778,,2.3986580086593676,,5.245497835499535,,,,0.08857708185076951
2005,0.0,0.8453217494995954,93924,40.69,0.27349058793855974,0.03343128486861718,0.08529236403901026,19.756666666666668,0.45841269841269866,0.39174603174603223,1.1185714285714308,0.9233333333333332,0.23539682539682852,0.8162999999999999,0,,0.0,0.0,29.67,45.42,,,0.08529236403901026,0.006931135811933053,1,,1,0,0,0,0.0,,0.39085714285710793,-0.008590519480511927,,0.797696969698336,3.218714285713304,5.612614718616371,-5.831285714285812,,,-0.04603491019896311
2006,0.0,0.8209749245345049,100377,40.81,0.3145674253023977,0.0350976817398408,0.10449604989190751,20.173333333333336,0.5450793650793658,0.5917460317460327,0.9585714285714305,0.9833333333333343,0.5587301587301603,0.8148000000000001,0,0.0,0.0,0.0,29.08,35.17,,,0.10449604989190751,0.008009803042529663,1,0.6241679769020779,1,0,0,0,0.0,-0.478,0.7469423558896899,-0.01661220779219963,-8.033421052634367,-0.8032640692626956,1.4882706766907177,3.2997316017331997,-15.820624060150479,,,-0.02698710094871115
2007,0.0,0.8057109781979549,114026,41.43,0.3373863884421734,0.03677231508603301,0.11079052146001789,20.496666666666666,-1.2615873015873003,-0.9149206349206338,-1.371428571428569,-1.2199999999999989,-1.2512698412698384,0.8240000000000001,0,8.33,0.0,0.0,22.58,51.08,,,0.11079052146001789,0.009515373686703032,1,0.8969858688368934,1,0,0,0,0.0,0.0687,1.0096942355889347,-0.013933896103887511,-2.6559649122836344,-2.404225108224182,-0.24217293233186865,-4.923151515149968,0.3500375939849647,,,-0.02619716592252852
2008,0.0,0.7889420733412711,125141,41.72,0.36265742768161935,0.04078599339944543,0.11873007247824453,18.686666666666667,-0.9582539682539668,-0.7182539682539671,-1.0247619047619025,-0.9500000000000005,-0.9646031746031731,0.8284,0,14.5,0.0,0.0,24.58,75.58,,,0.11873007247824453,0.011594920929191871,1,1.5110458671058988,1,0,0,0,0.0,0.136,-0.8608872180451499,-0.016055584415577195,0.5614912280670978,-4.0051861471852135,-1.972616541354455,-4.646034632033135,25.110699248120298,,,-0.022955154796675648
2009,0.0,0.7746320530309782,145877,41.08,0.38418952032464715,0.04287173440638346,0.12904707390472794,18.973333333333333,-0.0015873015873009895,-0.11492063492063427,-0.37142857142856894,-0.49666666666666615,0.09539682539682677,0.8268000000000001,0,11.92,0.0,0.0,30.33,53.0,,,0.12904707390472794,0.012291176813342748,1,1.5064171499433976,1,0,0,0,0.0,0.0975,-0.6348020050125704,-0.024177272727264998,-4.97105263158126,-5.606147186146245,-3.7030601503770413,-0.6189177489167577,2.791360902255633,,,-0.023452090267240933
2010,0.0,0.6952872655116027,272135,44.25,0.4828630508704339,0.052168960258695135,0.14629503738953092,20.03333333333333,-0.2415873015873006,-0.18825396825396723,0.8985714285714307,0.6866666666666662,-0.4146031746031724,0.8740000000000001,0,20.08,0.0,0.0,29.5,41.83,,,0.14629503738953092,0.02367207452183659,2,3.1448030201020054,1,1,0,0,0.0,0.1657,0.3646165413533424,0.016501038961045378,0.23640350876947025,-7.207108225107277,-5.433503759399628,-3.1718008657999235,-8.117977443609036,,,0.05319241216495274
2011,0.0,0.723427462015859,183366,42.28,0.45144621458783574,0.043961257812244366,0.13816083679635266,19.523333333333333,-0.9482539682539676,-0.8749206349206334,-0.9114285714285693,-0.7899999999999991,-1.0179365079365053,0.8348,0,20.67,2.58,0.0,32.0,42.58,,,0.13816083679635266,0.01483372053706794,2,1.042213097905713,1,0,0,0,0.0,0.8655,-0.20596491228074143,-0.029220649350642613,-2.126140350879794,-6.228069264068308,-7.163947368422214,-2.394683982683091,-7.107315789473702,,,-0.0002534522312385157
2012,0.0,0.7012333236357591,192488,43.47,0.4780857441448282,0.042407838410706125,0.14250758488840862,18.92,-0.3349206349206331,-0.3882539682539665,-1.034761904761903,-1.043333333333333,-0.3646031746031729,0.856,0,30.92,17.25,2.58,31.67,50.42,,,0.14250758488840862,0.018582976601138772,2,1.022290726194895,1,0,0,0,970.0000000372529,-0.3262,-0.869879699248159,-0.014542337662332261,5.171315789470938,6.84096969697066,-6.3143909774448,-4.447567099566257,0.9933458646616344,,,0.004357049212167952
2013,0.0,0.7029877709838799,215880,45.4,0.4756820626951428,0.041763942931258104,0.1355521586066333,19.573333333333334,-0.2582539682539675,-0.1882539682539678,0.481904761904764,0.5066666666666665,-0.22126984126983848,0.8717,0,30.42,14.17,17.25,40.92,51.58,,1251.0,0.1355521586066333,0.020400222345747638,2,1.000835572371035,1,0,0,0,970.0000000372529,0.0497,-0.2771278195489124,-0.005364025974020081,1.71877192982258,2.1600086580096285,6.6251654135326135,3.0795497835505756,2.4140075187969643,387.6966364813852,,-0.020075660351110525
