year,total_pilgrims,women,men,pct_women,means_foot,means_bike,motive_religious,motive_religious_mix,motive_non_religious,holy_year,covid_year,pct_foot,pct_bike,pct_religious,pct_non_religious,yoy_growth
2004,179944,79513,100431,44.19,156952,21260.0,134330.0,35528.0,10086.0,1,0,87.22,11.81,74.65,5.61,
2005,93924,38218,55106,40.69,76674,16985.0,35456.0,49977.0,8491.0,0,0,81.63,18.08,37.75,9.04,-0.478
2006,100377,40961,59416,40.81,81783,18289.0,41793.0,49726.0,8858.0,0,0,81.48,18.22,41.64,8.82,0.0687
2007,114026,47246,66780,41.43,93953,19702.0,43581.0,60944.0,9501.0,0,0,82.4,17.28,38.22,8.33,0.136
2008,125141,52205,72936,41.72,103669,21143.0,50732.0,63598.0,10811.0,0,0,82.84,16.9,40.54,8.64,0.0975
2009,145877,59932,85945,41.08,120605,24892.0,62188.0,70303.0,13386.0,0,0,82.68,17.06,42.63,9.18,0.1657
2010,272135,120429,151706,44.25,237852,32926.0,148964.0,109380.0,13791.0,1,0,87.4,12.1,54.74,5.07,0.8655
2011,183366,77535,105831,42.28,153065,29949.0,78969.0,93147.0,11250.0,0,0,83.48,16.33,43.07,6.14,-0.3262
2012,192488,83679,108809,43.47,164778,27407.0,79490.0,101171.0,11827.0,0,0,85.6,14.24,41.3,6.14,0.0497
2013,215880,98008,117872,45.4,188191,26646.0,86291.0,117785.0,11804.0,0,0,87.17,12.34,39.97,5.47,0.1215
2014,237983,109429,128554,45.98,211033,25332.0,101042.0,120474.0,16467.0,0,0,88.68,10.64,42.46,6.92,0.1024
2015,262516,123554,138962,47.07,236773,25346.0,99705.0,141993.0,20818.0,0,0,90.19,9.66,37.98,7.93,0.1031
2016,277854,133820,144034,48.16,254025,23347.0,122973.0,132660.0,22221.0,0,0,91.42,8.4,44.26,8.0,0.0584
2017,301036,147867,153169,49.12,278490,21933.0,130831.0,142662.0,27543.0,0,0,92.51,7.29,43.46,9.15,0.0834
2018,327378,164836,162542,50.35,306064,20787.0,140037.0,156720.0,30621.0,0,0,93.49,6.35,42.78,9.35,0.0875
2019,347566,181576,165990,52.24,322640,23560.0,140898.0,163129.0,43539.0,0,0,92.83,6.78,40.54,12.53,0.0617
2020,53983,28044,25939,51.95,49857,3817.0,21099.0,24745.0,8139.0,0,1,92.36,7.07,39.08,15.08,-0.8447
2021,175458,92350,83108,52.63,162891,11987.0,64419.0,84731.0,26308.0,1,1,92.84,6.83,36.71,14.99,2.2502
2022,438209,232050,206159,52.95,407769,29108.0,177417.0,209314.0,51478.0,0,0,93.05,6.64,40.49,11.75,1.4975
2023,446051,237143,208908,53.16,415647,29282.0,179876.0,210687.0,55488.0,0,0,93.18,6.56,40.33,12.44,0.0179
2024,499186,264968,234218,53.08,464644,33218.0,198762.0,241309.0,59115.0,0,0,93.08,6.65,39.82,11.84,0.1191
