year,profession,count
2004,Agricultores,800
2004,Amas de Casa,9763
2004,Artistas,1143
2004,Deportistas,126
2004,Directivos,1521
2004,Empleados,29300
2004,Estudiantes,45132
2004,Funcionarios,10048
2004,Jubilados,12804
2004,Liberales,22660
2004,Marinos,390
2004,Obreros,12019
2004,Oikoten (reinserción social en Bélgica),11
2004,Parados,2383
2004,Profesores,11805
2004,Religiosas,325
2004,Sacerdotes,1233
2004,Técnicos,18481
2005,Agricultores,333
2005,Amas de Casa,2989
2005,Artistas,1035
2005,Deportistas,69
2005,Directivos,1080
2005,Empleados,16552
2005,Estudiantes,18827
2005,Funcionarios,5029
2005,Jubilados,10389
2005,Liberales,11153
2005,Marinos,102
2005,Obreros,4798
2005,Parados,1490
2005,Profesores,7886
2005,Religiosas,79
2005,Sacerdotes,521
2005,Tecnicos,11592
2006,*Oikoten (inserción social en Bélgica),3
2006,Agricultores,343
2006,Amas de Casa,2776
2006,Artistas,920
2006,Deportistas,79
2006,Directivos,1029
2006,Empleados,16351
2006,Estudiantes,20886
2006,Funcionarios,4642
2006,Jubilados,11888
2006,Liberales,13266
2006,Marinos,119
2006,Obreros,5178
2006,Parados,1694
2006,Profesores,8285
2006,Religiosas,152
2006,Sacerdotes,732
2006,Técnicos,12054
2007,Agricultores,321
2007,Amas de Casa,3314
2007,Artistas,936
2007,Deportistas,121
2007,Directivos,1269
2007,Empleados,19056
2007,Estudiantes,21797
2007,Funcionarios,5467
2007,Jubilados,13880
2007,Liberales,13442
2007,Marinos,131
2007,Obreros,7626
2007,Parados,1675
2007,Profesores,9381
2007,Religiosas,125
2007,Sacerdotes,837
2007,Técnicos,14648
2008,Agricultores,396
2008,Amas de Casa,3547
2008,Artistas,936
2008,Deportistas,113
2008,Directivos,1223
2008,Empleados,22024
2008,Estudiantes,22789
2008,Funcionarios,6025
2008,Jubilados,14884
2008,Liberales,16135
2008,Marinos,119
2008,Obreros,8218
2008,Parados,2189
2008,Profesores,9915
2008,Religiosas,144
2008,Sacerdotes,934
2008,Técnicos,15704
2009,*Oikoten (inserción social en Bélgica),20
2009,Agricultores,444
2009,Amas de Casa,3574
2009,Artistas,1177
2009,Deportistas,108
2009,Directivos,1346
2009,Empleados,31640
2009,Estudiantes,26844
2009,Funcionarios,7025
2009,Jubilados,16109
2009,Liberales,16379
2009,Marinos,136
2009,Obreros,7671
2009,Parados,3393
2009,Profesores,11105
2009,Religiosas,153
2009,Sacerdotes,870
2009,Técnicos,17883
2010,Agricultores,1011
2010,Amas de Casa,10984
2010,Artistas,1408
2010,Deportistas,162
2010,Directivos,2152
2010,Empleados,62951
2010,Estudiantes,50204
2010,Funcionarios,15738
2010,Jubilados,25370
2010,Liberales,29401
2010,Marinos,440
2010,Obreros,14012
2010,Parados,6227
2010,Profesores,16717
2010,Religiosas,793
2010,Sacerdotes,1663
2010,Tecnicos,32850
2011,Agricultores,563
2011,Amas de Casa,4040
2011,Artistas,1529
2011,Deportistas,119
2011,Directivos,1475
2011,Empleados,43596
2011,Estudiantes,31839
2011,Funcionarios,9434
2011,Jubilados,20399
2011,Liberales,18862
2011,Marinos,232
2011,Obreros,6861
2011,Oikoten,30
2011,Parados,4230
2011,Profesores,13886
2011,Religiosas,362
2011,Sacerdotes,827
2011,Tecnicos,25082
2012,Agricultores,631
2012,Amas de Casa,4368
2012,Artistas,1471
2012,Deportistas,167
2012,Directivos,1818
2012,Empleados,43069
2012,Estudiantes,34747
2012,Funcionarios,8751
2012,Jubilados,22094
2012,Liberales,21779
2012,Marinos,350
2012,Obreros,7285
2012,Parados,5168
2012,Profesores,14400
2012,Religiosas,477
2012,Sacerdotes,1159
2012,Técnicos,24754
2013,Agricultores,780
2013,Amas de Casa,4893
2013,Artistas,2083
2013,Deportistas,244
2013,Directivos,2777
2013,Empleados,48615
2013,Estudiantes,40360
2013,Funcionarios,10144
2013,Jubilados,25712
2013,Liberales,24952
2013,Marinos,319
2013,Obreros,7621
2013,Parados,5508
2013,Profesores,15669
2013,Religiosas,504
2013,Sacerdotes,1327
2013,Tecnicos,24372
2014,Agricultores,792
2014,Amas de Casa,5228
2014,Artistas,2190
2014,Deportistas,155
2014,Directivos,4624
2014,Empleados,55075
2014,Estudiantes,45238
2014,Funcionarios,11851
2014,Jubilados,29528
2014,Liberales,27899
2014,Marinos,302
2014,Obreros,3805
2014,Oikoten,45
2014,Parados,5007
2014,Profesores,17350
2014,Religiosas,1104
2014,Sacerdotes,1387
2014,Tecnicos,26403
2015,Agricultores,860
2015,Amas de Casa,5639
2015,Artistas,2557
2015,Deportistas,274
2015,Directivos,4213
2015,Empleados,56501
2015,Estudiantes,50498
2015,Funcionarios,13107
2015,Jubilados,32804
2015,Liberales,35757
2015,Marinos,239
2015,Obreros,3558
2015,Oikoten,13
2015,Parados,5266
2015,Profesores,18164
2015,Religiosas,1053
2015,Sacerdotes,1419
2015,Tecnicos,30594
2016,Agricultores,909
2016,Amas de Casa,5859
2016,Artistas,2532
2016,Deportistas,266
2016,Directivos,3699
2016,Empleados,57740
2016,Estudiantes,49889
2016,Funcionarios,15757
2016,Jubilados,35815
2016,Liberales,41760
2016,Marinos,344
2016,Obreros,3367
2016,Parados,4566
2016,Profesores,18922
2016,Religiosas/os,879
2016,Sacerdotes,1301
2016,Tecnicos,34249
2017,Agricultores,954
2017,Amas de Casa,5856
2017,Artistas,2845
2017,Deportistas,355
2017,Directivos,4690
2017,Empleados,77224
2017,Estudiantes,56478
2017,Funcionarios,18048
2017,Jubilados,37894
2017,Liberales,33139
2017,Marinos,324
2017,Obreros,3700
2017,Parados,4317
2017,Profesores,20632
2017,Religiosas/os,1144
2017,Sacerdotes,1337
2017,Tecnicos,32099
2018,Agricultores,1064
2018,Amas de Casa,6796
2018,Artistas,2976
2018,Deportistas,378
2018,Directivos,5267
2018,Empleados,84611
2018,Estudiantes,58674
2018,Funcionarios,18950
2018,Jubilados,42752
2018,Liberales,40785
2018,Marinos,444
2018,Obreros,4005
2018,Parados,4400
2018,Profesores,22724
2018,Religiosas/os,1352
2018,Sacerdotes,1315
2018,Tecnicos,30885
