year,route,count
2004,Camino Francés,138646
2004,Camino Inglés,3092
2004,Camino Portugués,15839
2004,Camino Primitivo,4876
2004,Camino del Norte,7117
2004,Otros caminos,1065
2004,Via de la Plata,9309
2005,Camino Francés,79396
2005,Camino Inglés,651
2005,Camino Portugués,5507
2005,Camino Primitivo,1028
2005,Camino del Norte,3843
2005,Otros caminos,359
2005,Vía de la Plata,3140
2006,Camino Francés,82407
2006,Camino Inglés,804
2006,Camino Portugués,6467
2006,Camino Primitivo,1588
2006,Camino del Norte,5378
2006,Otros caminos,210
2006,Vía de la Plata,3523
2007,Camino Francés,91872
2007,Camino Inglés,1085
2007,Camino Portugués,8110
2007,Camino Primitivo,2569
2007,Camino del Norte,5871
2007,Otros caminos,326
2007,Vía de la Plata,4193
2008,Camino Francés,98729
2008,Camino Inglés,1451
2008,Camino Portugués,9770
2008,Camino Primitivo,2719
2008,Camino del Norte,7035
2008,Otros caminos,333
2008,Vía de la Plata,5104
2009,Camino Francés,113001
2009,Camino Inglés,1793
2009,Camino Portugués,11956
2009,Camino Primitivo,3388
2009,Camino del Norte,9183
2009,Otros caminos,302
2009,Vía de la Plata,6254
2010,Camino Francés,189212
2010,Camino Inglés,6442
2010,Camino Portugués,34147
2010,Camino Primitivo,7661
2010,Camino del Norte,17954
2010,Otros caminos,1522
2010,Vía de la Plata,14197
2011,Camino Francés,132652
2011,Camino Inglés,2720
2011,Camino Portugués,22062
2011,Camino Primitivo,5544
2011,Camino del Norte,11729
2011,Muxía-Finisterre,202
2011,Otros caminos,396
2011,Vía de la Plata,8061
2012,Camino Francés,134979
2012,Camino Inglés,3577
2012,Camino Portugués,25628
2012,Camino Primitivo,6349
2012,Camino del Norte,12919
2012,Otros caminos,873
2012,Vía de la Plata,8163
2013,Camino Francés,151761
2013,Camino Inglés,4404
2013,Camino Portugués,29550
2013,Camino Primitivo,6854
2013,Camino del Norte,13393
2013,Muxía-Finisterre,457
2013,Otros caminos,444
2013,Vía de la Plata,9016
2014,Camino de Invierno,131
2014,Frances-Camino de,162055
2014,Ingles-Camino,7200
2014,Muxia-Finisterre,652
2014,Norte-Camino de,15089
2014,Otros caminos,586
2014,Portugues-Camino,35501
2014,Primitivo-Camino,8275
2014,Via de la Plata,8491
2015,Camino de Invierno,222
2015,Frances-Camino de,172243
2015,Ingles-Camino,9247
2015,Muxia-Finisterre,758
2015,Norte-Camino de,15828
2015,Otros caminos,359
2015,Portugues-Camino,43151
2015,Primitivo-Camino,11473
2015,Via de la Plata,9221
2016,Camino Francés,176075
2016,Camino Inglés,9703
2016,Camino Portugués,49538
2016,Camino Portugués de la Costa,2600
2016,Camino Primitivo,12089
2016,Camino de Invierno,287
2016,Camino del Norte,17289
2016,Muxia-Finisterre,770
2016,Otros caminos,436
2016,Vía de la Plata,9067
2017,Camino Francés,180737
2017,Camino Inglés,11321
2017,Camino Portugues de la costa,7329
2017,Camino Portugués,59233
2017,Camino Primitivo,13685
2017,Camino de Invierno,555
2017,Camino del Norte,17836
2017,Muxia-Finisterre,665
2017,Otros caminos,537
2017,Via de la Plata,9138
2018,Camino Francés,186199
2018,Camino Inglés,14150
2018,Camino Portugues de la Costa,13841
2018,Camino Portugués,67822
2018,Camino Primitivo,15038
2018,Camino de Invierno,703
2018,Camino del Norte,19040
2018,Muxia-Finisterre,1131
2018,Otros caminos,326
2018,Via de la Plata,9127
