year,total_pilgrims,men,women,means_pie,means_bicicleta,means_caballo,means_silla_de_ruedas,motive_religioso,motive_religioso_y_,motive_no_religioso,means_biciclet,motive_religiosa_y_,motive_religiosa,motive_no_religiosa,means_vela,age_30-60,age_u30,age_o60
2004,179944,100431,79513,156952,21260.0,1672,60,134330.0,35528.0,10086.0,,,,,,,,
2005,93924,55106,38218,76674,16985.0,242,23,35456.0,49977.0,8491.0,,,,,,,,
2006,100377,59416,40961,81783,,294,11,,,,18289.0,49726.0,41793.0,8858.0,,,,
2007,114026,66780,47246,93953,,364,7,,,,19702.0,60944.0,43581.0,9501.0,,,,
2008,125141,72936,52205,103669,,290,39,,,,21143.0,63598.0,50732.0,10811.0,,,,
2009,145877,85945,59932,120605,,341,39,,,,24892.0,70303.0,62188.0,13386.0,,,,
2010,272135,151706,120429,237852,32926.0,1315,42,148964.0,109380.0,13791.0,,,,,,,,
2011,183366,105831,77535,153065,29949.0,341,11,78969.0,93147.0,11250.0,,,,,,,,
2012,192488,108809,83679,164778,27407.0,281,22,79490.0,101171.0,11827.0,,,,,,,,
2013,215880,117872,98008,188191,26646.0,977,66,86291.0,117785.0,11804.0,,,,,,,,
2014,237983,128554,109429,211033,25332.0,1520,98,101042.0,120474.0,16467.0,,,,,,,,
2015,262516,138962,123554,236773,25346.0,326,71,99705.0,141993.0,20818.0,,,,,,,,
2016,277854,144034,133820,254025,23347.0,342,125,122973.0,132660.0,22221.0,,,,,15.0,,,
2017,301036,153169,147867,278490,21933.0,417,43,130831.0,142662.0,27543.0,,,,,153.0,,,
2018,327378,162542,164836,306064,20787.0,318,79,140037.0,156720.0,30621.0,,,,,130.0,179450.0,87843.0,60085.0
