year,total_pilgrims,men,women,means_foot,means_bike,means_horse,means_wheelchair,means_sailboat,age_30to60,age_under30,age_over60,motive_religious,motive_religious_mix,motive_non_religious,pct_women
2004,179944,100431,79513,156952,21260.0,1672,60,,,,,134330.0,35528.0,10086.0,44.19
2005,93924,55106,38218,76674,16985.0,242,23,,,,,35456.0,49977.0,8491.0,40.69
2006,100377,59416,40961,81783,18289.0,294,11,,,,,41793.0,49726.0,8858.0,40.81
2007,114026,66780,47246,93953,19702.0,364,7,,,,,43581.0,60944.0,9501.0,41.43
2008,125141,72936,52205,103669,21143.0,290,39,,,,,50732.0,63598.0,10811.0,41.72
2009,145877,85945,59932,120605,24892.0,341,39,,,,,62188.0,70303.0,13386.0,41.08
2010,272135,151706,120429,237852,32926.0,1315,42,,,,,148964.0,109380.0,13791.0,44.25
2011,183366,105831,77535,153065,29949.0,341,11,,,,,78969.0,93147.0,11250.0,42.28
2012,192488,108809,83679,164778,27407.0,281,22,,,,,79490.0,101171.0,11827.0,43.47
2013,215880,117872,98008,188191,26646.0,977,66,,,,,86291.0,117785.0,11804.0,45.4
2014,237983,128554,109429,211033,25332.0,1520,98,,,,,101042.0,120474.0,16467.0,45.98
2015,262516,138962,123554,236773,25346.0,326,71,,,,,99705.0,141993.0,20818.0,47.07
2016,277854,144034,133820,254025,23347.0,342,125,15.0,,,,122973.0,132660.0,22221.0,48.16
2017,301036,153169,147867,278490,21933.0,417,43,153.0,,,,130831.0,142662.0,27543.0,49.12
2018,327378,162542,164836,306064,20787.0,318,79,130.0,179450.0,87843.0,60085.0,140037.0,156720.0,30621.0,50.35
