date,interest,keyword,geo,year
2004-01-01,86,Camino de Santiago,ES,2004
2004-02-01,89,Camino de Santiago,ES,2004
2004-03-01,82,Camino de Santiago,ES,2004
2004-04-01,87,Camino de Santiago,ES,2004
2004-05-01,91,Camino de Santiago,ES,2004
2004-06-01,100,Camino de Santiago,ES,2004
2004-07-01,98,Camino de Santiago,ES,2004
2004-08-01,77,Camino de Santiago,ES,2004
2004-09-01,55,Camino de Santiago,ES,2004
2004-10-01,36,Camino de Santiago,ES,2004
2004-11-01,26,Camino de Santiago,ES,2004
2004-12-01,23,Camino de Santiago,ES,2004
2005-01-01,27,Camino de Santiago,ES,2005
2005-02-01,27,Camino de Santiago,ES,2005
2005-03-01,31,Camino de Santiago,ES,2005
2005-04-01,34,Camino de Santiago,ES,2005
2005-05-01,41,Camino de Santiago,ES,2005
2005-06-01,44,Camino de Santiago,ES,2005
2005-07-01,52,Camino de Santiago,ES,2005
2005-08-01,50,Camino de Santiago,ES,2005
2005-09-01,26,Camino de Santiago,ES,2005
2005-10-01,18,Camino de Santiago,ES,2005
2005-11-01,17,Camino de Santiago,ES,2005
2005-12-01,13,Camino de Santiago,ES,2005
2006-01-01,19,Camino de Santiago,ES,2006
2006-02-01,22,Camino de Santiago,ES,2006
2006-03-01,28,Camino de Santiago,ES,2006
2006-04-01,35,Camino de Santiago,ES,2006
2006-05-01,34,Camino de Santiago,ES,2006
2006-06-01,36,Camino de Santiago,ES,2006
2006-07-01,46,Camino de Santiago,ES,2006
2006-08-01,40,Camino de Santiago,ES,2006
2006-09-01,22,Camino de Santiago,ES,2006
2006-10-01,18,Camino de Santiago,ES,2006
2006-11-01,13,Camino de Santiago,ES,2006
2006-12-01,11,Camino de Santiago,ES,2006
2007-01-01,16,Camino de Santiago,ES,2007
2007-02-01,17,Camino de Santiago,ES,2007
2007-03-01,21,Camino de Santiago,ES,2007
2007-04-01,26,Camino de Santiago,ES,2007
2007-05-01,27,Camino de Santiago,ES,2007
2007-06-01,34,Camino de Santiago,ES,2007
2007-07-01,38,Camino de Santiago,ES,2007
2007-08-01,37,Camino de Santiago,ES,2007
2007-09-01,21,Camino de Santiago,ES,2007
2007-10-01,15,Camino de Santiago,ES,2007
2007-11-01,12,Camino de Santiago,ES,2007
2007-12-01,11,Camino de Santiago,ES,2007
2008-01-01,15,Camino de Santiago,ES,2008
2008-02-01,18,Camino de Santiago,ES,2008
2008-03-01,22,Camino de Santiago,ES,2008
2008-04-01,24,Camino de Santiago,ES,2008
2008-05-01,25,Camino de Santiago,ES,2008
2008-06-01,28,Camino de Santiago,ES,2008
2008-07-01,36,Camino de Santiago,ES,2008
2008-08-01,32,Camino de Santiago,ES,2008
2008-09-01,20,Camino de Santiago,ES,2008
2008-10-01,14,Camino de Santiago,ES,2008
2008-11-01,13,Camino de Santiago,ES,2008
2008-12-01,10,Camino de Santiago,ES,2008
2009-01-01,16,Camino de Santiago,ES,2009
2009-02-01,17,Camino de Santiago,ES,2009
2009-03-01,21,Camino de Santiago,ES,2009
2009-04-01,31,Camino de Santiago,ES,2009
2009-05-01,30,Camino de Santiago,ES,2009
2009-06-01,31,Camino de Santiago,ES,2009
2009-07-01,40,Camino de Santiago,ES,2009
2009-08-01,36,Camino de Santiago,ES,2009
2009-09-01,23,Camino de Santiago,ES,2009
2009-10-01,18,Camino de Santiago,ES,2009
2009-11-01,17,Camino de Santiago,ES,2009
2009-12-01,14,Camino de Santiago,ES,2009
2010-01-01,35,Camino de Santiago,ES,2010
2010-02-01,33,Camino de Santiago,ES,2010
2010-03-01,39,Camino de Santiago,ES,2010
2010-04-01,43,Camino de Santiago,ES,2010
2010-05-01,48,Camino de Santiago,ES,2010
2010-06-01,40,Camino de Santiago,ES,2010
2010-07-01,51,Camino de Santiago,ES,2010
2010-08-01,46,Camino de Santiago,ES,2010
2010-09-01,28,Camino de Santiago,ES,2010
2010-10-01,20,Camino de Santiago,ES,2010
2010-11-01,16,Camino de Santiago,ES,2010
2010-12-01,12,Camino de Santiago,ES,2010
2011-01-01,18,Camino de Santiago,ES,2011
2011-02-01,20,Camino de Santiago,ES,2011
2011-03-01,22,Camino de Santiago,ES,2011
2011-04-01,27,Camino de Santiago,ES,2011
2011-05-01,27,Camino de Santiago,ES,2011
2011-06-01,31,Camino de Santiago,ES,2011
2011-07-01,41,Camino de Santiago,ES,2011
2011-08-01,40,Camino de Santiago,ES,2011
2011-09-01,23,Camino de Santiago,ES,2011
2011-10-01,19,Camino de Santiago,ES,2011
2011-11-01,15,Camino de Santiago,ES,2011
2011-12-01,12,Camino de Santiago,ES,2011
2012-01-01,16,Camino de Santiago,ES,2012
2012-02-01,17,Camino de Santiago,ES,2012
2012-03-01,21,Camino de Santiago,ES,2012
2012-04-01,25,Camino de Santiago,ES,2012
2012-05-01,25,Camino de Santiago,ES,2012
2012-06-01,29,Camino de Santiago,ES,2012
2012-07-01,41,Camino de Santiago,ES,2012
2012-08-01,38,Camino de Santiago,ES,2012
2012-09-01,21,Camino de Santiago,ES,2012
2012-10-01,17,Camino de Santiago,ES,2012
2012-11-01,13,Camino de Santiago,ES,2012
2012-12-01,12,Camino de Santiago,ES,2012
2013-01-01,16,Camino de Santiago,ES,2013
2013-02-01,18,Camino de Santiago,ES,2013
2013-03-01,22,Camino de Santiago,ES,2013
2013-04-01,23,Camino de Santiago,ES,2013
2013-05-01,31,Camino de Santiago,ES,2013
2013-06-01,35,Camino de Santiago,ES,2013
2013-07-01,46,Camino de Santiago,ES,2013
2013-08-01,45,Camino de Santiago,ES,2013
2013-09-01,25,Camino de Santiago,ES,2013
2013-10-01,18,Camino de Santiago,ES,2013
2013-11-01,13,Camino de Santiago,ES,2013
2013-12-01,12,Camino de Santiago,ES,2013
2014-01-01,15,Camino de Santiago,ES,2014
2014-02-01,19,Camino de Santiago,ES,2014
2014-03-01,20,Camino de Santiago,ES,2014
2014-04-01,31,Camino de Santiago,ES,2014
2014-05-01,31,Camino de Santiago,ES,2014
2014-06-01,35,Camino de Santiago,ES,2014
2014-07-01,43,Camino de Santiago,ES,2014
2014-08-01,46,Camino de Santiago,ES,2014
2014-09-01,34,Camino de Santiago,ES,2014
2014-10-01,18,Camino de Santiago,ES,2014
2014-11-01,17,Camino de Santiago,ES,2014
2014-12-01,12,Camino de Santiago,ES,2014
2015-01-01,17,Camino de Santiago,ES,2015
2015-02-01,19,Camino de Santiago,ES,2015
2015-03-01,25,Camino de Santiago,ES,2015
2015-04-01,28,Camino de Santiago,ES,2015
2015-05-01,33,Camino de Santiago,ES,2015
